"Geographic Location","Total","Under 15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 and over","Not Stated"
"PHILIPPINES",434932,51,32353,137551,148618,68286,25440,10165,5547,3280,1805,1019,504,184,114,15
"..NCR",55570,1,1088,11402,21242,12214,4876,2078,1175,695,422,229,88,38,20,2
"....City of Manila",11103,0,212,2118,4006,2412,1118,516,321,176,121,64,19,15,5,0
"....City of Mandaluyong",1258,0,13,207,495,351,108,47,15,8,8,2,4,0,0,0
"....City of Marikina",1928,0,19,384,795,439,156,57,32,23,16,4,1,1,1,0
"....City of Pasig",2238,0,47,478,876,521,182,53,25,29,16,7,3,0,1,0
"....Quezon City",16302,1,342,3390,6331,3503,1330,615,359,202,125,62,23,11,6,2
"....City of San Juan",554,0,8,67,225,176,49,17,5,6,0,1,0,0,0,0
"....City of Caloocan",5584,0,184,1482,1922,1003,473,202,123,88,57,28,16,4,2,0
"....City of Malabon",727,0,5,140,304,165,62,27,10,11,1,1,1,0,0,0
"....City of Navotas",498,0,9,119,199,98,46,15,7,2,2,0,0,1,0,0
"....City of Valenzuela",1747,0,41,434,688,333,125,41,39,22,8,11,3,1,1,0
"....City of Las Piñas",2610,0,43,517,982,606,267,95,48,20,15,14,2,0,1,0
"....City of Makati",2322,0,18,323,963,655,218,68,32,21,10,6,6,2,0,0
"....City of Muntinlupa",1736,0,24,336,751,403,125,44,18,20,7,5,2,0,1,0
"....City of Parañaque",2132,0,32,436,857,441,187,85,43,19,14,10,6,1,1,0
"....Pasay City",3039,0,71,631,1076,722,273,138,71,33,14,8,0,1,1,0
"....Pateros",248,0,2,61,101,44,22,9,3,2,2,0,1,1,0,0
"....City of Taguig",1544,0,18,279,671,342,135,49,24,13,6,6,1,0,0,0
"..CAR",9053,0,901,3077,3008,1230,465,162,82,49,38,25,12,2,2,0
"....Abra",1087,0,93,363,346,164,69,22,9,11,6,4,0,0,0,0
"....Benguet",4362,0,360,1334,1591,654,241,79,38,22,21,12,9,0,1,0
"....Ifugao",1176,0,183,465,338,118,46,9,8,1,3,2,2,0,1,0
"....Kalinga",1094,0,85,370,358,162,58,29,12,7,4,6,1,2,0,0
"....Mountain Province",723,0,84,283,230,69,29,15,9,3,1,0,0,0,0,0
"....Apayao",611,0,96,262,145,63,22,8,6,5,3,1,0,0,0,0
"..Ilocos Region",25970,1,2239,8799,8187,3793,1528,639,364,202,106,59,37,9,7,0
"....Ilocos Norte",3065,0,220,919,915,454,273,117,73,41,22,19,7,3,2,0
"....Ilocos Sur",3574,0,268,1284,1050,527,230,87,67,35,15,6,4,0,1,0
"....La Union",3924,0,309,1293,1295,610,228,83,54,26,11,4,8,2,1,0
"....Pangasinan",15407,1,1442,5303,4927,2202,797,352,170,100,58,30,18,4,3,0
"..Cagayan Valley",19111,0,3108,7697,5057,1904,687,271,143,115,58,42,15,8,4,2
"....Batanes",67,0,1,7,33,17,6,2,0,0,0,0,1,0,0,0
"....Cagayan",6059,0,784,2434,1737,654,220,90,51,42,24,11,9,2,1,0
"....Isabela",9328,0,1662,3788,2373,858,337,131,67,45,31,24,4,4,2,2
"....Nueva Vizcaya",2554,0,443,1010,660,275,89,35,17,16,2,5,0,1,1,0
"....Quirino",1103,0,218,458,254,100,35,13,8,12,1,2,1,1,0,0
"..Central Luzon",51027,0,4968,18177,16472,6610,2520,953,588,369,180,92,59,19,16,4
"....Bataan",3438,0,239,1093,1194,530,195,76,47,35,13,10,3,3,0,0
"....Bulacan",12587,0,676,4044,4599,2001,693,214,159,102,48,27,15,5,2,2
"....Nueva Ecija",10180,0,1404,3905,2978,1104,399,166,92,56,35,16,14,4,7,0
"....Pampanga",12546,0,1317,4688,4049,1450,570,222,122,63,39,13,6,3,3,1
"....Tarlac",7575,0,960,3007,2166,776,342,143,88,49,16,9,13,3,2,1
"....Zambales",3596,0,216,1035,1156,627,277,117,67,53,24,15,7,1,1,0
"....Aurora",1105,0,156,405,330,122,44,15,13,11,5,2,1,0,1,0
"..Calabarzon",58152,0,3596,17135,21318,9993,3414,1265,620,393,226,120,52,13,7,0
"....Batangas",14161,0,1166,4575,5092,2304,656,181,81,48,31,22,4,1,0,0
"....Cavite",13325,0,425,3199,5218,2796,941,353,180,104,61,27,17,4,0,0
"....Laguna",11693,0,690,3379,4371,1940,705,306,125,96,44,23,9,2,3,0
"....Quezon",8717,0,861,3242,2878,1035,362,137,75,51,41,16,14,4,1,0
"....Rizal",10256,0,454,2740,3759,1918,750,288,159,94,49,32,8,2,3,0
"..Mimaropa Region",13548,3,1478,4742,4186,1852,651,286,161,78,52,29,19,8,2,1
"....Marinduque",1097,0,73,350,362,190,72,25,14,1,8,2,0,0,0,0
"....Occidental Mindoro",2117,0,259,827,572,246,94,47,30,14,10,9,5,4,0,0
"....Oriental Mindoro",4237,0,505,1583,1274,525,159,84,46,27,16,8,7,3,0,0
"....Palawan",4835,3,598,1651,1472,651,241,103,58,25,14,9,7,0,2,1
"....Romblon",1262,0,43,331,506,240,85,27,13,11,4,1,0,1,0,0
"..Bicol Region",24993,0,2077,8649,8212,3629,1334,490,266,152,81,47,35,12,8,1
"....Albay",5899,0,358,1947,2049,966,339,109,56,38,21,8,6,1,1,0
