"Geographic Location","Total","Under 15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 and over","Not Stated"
"PHILIPPINES",434932,8,7601,94096,157407,95143,39913,16508,8802,5407,3880,2843,1766,858,685,15
"..NCR",55570,0,270,6812,18771,14387,6774,3030,1901,1202,982,728,422,155,133,3
"....City of Manila",11103,0,51,1228,3490,2714,1420,721,524,319,265,187,110,38,36,0
"....City of Mandaluyong",1258,0,6,128,435,407,162,57,26,12,12,7,3,2,1,0
"....City of Marikina",1928,0,13,238,690,525,225,100,38,31,22,26,12,5,3,0
"....City of Pasig",2238,0,12,291,846,587,264,94,50,31,29,15,11,6,2,0
"....Quezon City",16302,0,85,2017,5584,4318,1952,876,521,334,243,181,110,36,43,2
"....City of San Juan",554,0,3,44,175,188,79,31,17,7,1,2,5,1,1,0
"....City of Caloocan",5584,0,49,930,1864,1254,609,312,190,117,111,87,38,16,6,1
"....City of Malabon",727,0,0,96,266,198,82,38,19,10,12,3,3,0,0,0
"....City of Navotas",498,0,2,78,159,130,71,32,15,3,3,4,0,0,1,0
"....City of Valenzuela",1747,0,10,290,627,442,192,63,43,23,27,17,9,1,3,0
"....City of Las Pi�as",2610,0,8,289,844,695,359,129,96,63,43,38,23,11,12,0
"....City of Makati",2322,0,5,193,797,716,311,118,55,44,31,22,16,8,6,0
"....City of Muntinlupa",1736,0,5,205,680,482,190,75,37,19,18,16,4,3,2,0
"....City of Para�aque",2132,0,7,258,739,549,284,111,62,48,27,22,14,5,6,0
"....Pasay City",3039,0,10,304,893,717,356,188,169,112,115,87,59,21,8,0
"....Pateros",248,0,0,43,96,57,32,8,2,0,5,3,0,0,2,0
"....City of Taguig",1544,0,4,180,586,408,186,77,37,29,18,11,5,2,1,0
"..CAR",9053,0,191,2259,3341,1900,719,271,139,92,51,32,30,18,10,0
"....Abra",1087,0,26,263,384,229,90,36,24,16,6,7,4,2,0,0
"....Benguet",4362,0,87,984,1643,1000,340,118,62,50,25,14,19,14,6,0
"....Ifugao",1176,0,30,356,429,208,92,29,14,4,4,3,4,1,2,0
"....Kalinga",1094,0,21,238,419,218,103,49,18,10,9,4,3,1,1,0
"....Mountain Province",723,0,16,205,271,132,50,24,12,8,3,2,0,0,0,0
"....Apayao",611,0,11,213,195,113,44,15,9,4,4,2,0,0,1,0
"..Ilocos Region",25970,0,586,6361,9122,5281,2278,956,506,333,201,139,108,51,47,1
"....Ilocos Norte",3065,0,53,701,977,610,310,154,86,66,31,31,24,13,9,0
"....Ilocos Sur",3574,0,78,939,1216,671,336,137,76,56,30,13,12,5,5,0
"....La Union",3924,0,66,900,1433,829,377,139,72,40,24,17,14,6,7,0
"....Pangasinan",15407,0,389,3821,5496,3171,1255,526,272,171,116,78,58,27,26,1
"..Cagayan Valley",19111,0,841,6424,6665,3018,1100,416,230,147,95,82,49,24,20,0
"....Batanes",67,0,2,4,22,21,10,4,2,1,0,0,1,0,0,0
"....Cagayan",6059,0,257,1926,2199,982,349,125,75,54,32,29,18,8,5,0
"....Isabela",9328,0,437,3283,3168,1419,505,218,102,65,47,40,25,10,9,0
"....Nueva Vizcaya",2554,0,93,801,909,436,180,51,35,15,12,10,4,3,5,0
"....Quirino",1103,0,52,410,367,160,56,18,16,12,4,3,1,3,1,0
"..Central Luzon",51027,0,1330,13506,18384,9711,3908,1582,891,587,409,312,190,122,90,5
"....Bataan",3438,0,50,798,1254,702,326,133,73,38,21,21,11,5,6,0
"....Bulacan",12587,0,178,2736,4740,2766,1109,398,216,151,108,83,44,32,24,2
"....Nueva Ecija",10180,0,369,3163,3504,1753,666,291,160,101,62,42,30,23,16,0
"....Pampanga",12546,0,352,3492,4590,2270,868,354,205,140,99,74,49,31,21,1
"....Tarlac",7575,0,278,2335,2685,1232,508,223,107,71,48,39,23,14,10,2
"....Zambales",3596,0,62,668,1210,786,366,156,109,79,62,45,28,14,11,0
"....Aurora",1105,0,41,314,401,202,65,27,21,7,9,8,5,3,2,0
"..Calabarzon",58152,0,1068,12290,21641,13347,5190,1994,978,547,420,336,179,87,75,0
"....Batangas",14161,0,386,3499,5310,3172,1075,360,163,65,45,45,26,9,6,0
"....Cavite",13325,0,111,2156,4969,3416,1369,540,249,163,138,106,59,26,23,0
"....Laguna",11693,0,231,2407,4477,2591,1042,368,209,122,96,74,41,18,17,0
"....Quezon",8717,0,230,2397,3259,1653,624,240,111,68,45,42,21,15,12,0
"....Rizal",10256,0,110,1831,3626,2515,1080,486,246,129,96,69,32,19,17,0
"..Mimaropa Region",13548,0,378,3477,4623,2773,1154,511,257,125,103,61,48,17,20,1
